id_artiste,nom_artiste,popularite,date_effet
6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,2022-09-07 15:29:58.679434
246dkjvS1zLTtiykXe5h60,Post Malone,88,2022-09-07 15:29:59.238757
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,88,2022-09-07 15:29:59.978902
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,84,2022-09-07 15:30:00.643609
716NhGYqD1jl2wI1Qkgq36,Bizarrap,87,2022-09-07 15:30:01.199962
52iwsT98xCoGgiGntTiR7K,Quevedo,85,2022-09-07 15:30:01.833561
56oDRnqbIiwx4mymNEv7dS,Lizzo,80,2022-09-07 15:30:02.452792
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,88,2022-09-07 15:30:03.126613
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,80,2022-09-07 15:30:03.751223
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,84,2022-09-07 15:30:04.443745
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,86,2022-09-07 15:30:05.070441
46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,76,2022-09-07 15:30:05.652615
6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,2022-09-07 15:30:06.251962
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,87,2022-09-07 15:30:06.945971
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,79,2022-09-07 15:30:07.571234
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,83,2022-09-07 15:30:08.248230
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,77,2022-09-07 15:30:08.960862
3Nrfpe0tUJi4K4DXYWgMUX,BTS,91,2022-09-07 15:30:09.697756
7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,74,2022-09-07 15:30:10.253142
38PzLQE4GW8o7A18oGhi0x,dazy,74,2022-09-07 15:30:10.946122
3PhoLpVuITZKcymswpck5b,Elton John,83,2022-09-07 15:30:11.650252
26dSoYclwsYLMAKD3tpOr4,Britney Spears,80,2022-09-07 15:30:12.272515
46pWGuE3dSwY3bMMXGBvVS,Rema,75,2022-09-07 15:30:13.091095
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,81,2022-09-07 15:30:13.827258
57vWImR43h4CaDao012Ofp,Steve Lacy,84,2022-09-07 15:30:14.372203
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,85,2022-09-07 15:30:15.034460
64KEffDW9EtZ1y2vBYgq8T,Marshmello,83,2022-09-07 15:30:15.677399
6LuN9FCkKOj5PcnpouEgny,Khalid,85,2022-09-07 15:30:16.225455
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,82,2022-09-07 15:30:16.920815
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,90,2022-09-07 15:30:17.588142
5H4yInM5zmHqpKIoMNAx4r,Central Cee,79,2022-09-07 15:30:18.207969
