id_playlist,id_artiste,date_entree,date_sortie
37i9dQZF1DXcBWIGoYBM5M,6KImCVD70vtIoJWnq6nGn3,2022-09-07 15:29:58.032936,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,246dkjvS1zLTtiykXe5h60,2022-09-07 15:29:58.679434,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5cj0lLjcoR7YOSnhnX0Po5,2022-09-07 15:29:59.238757,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5Pwc4xIPtQLFEnJriah9YJ,2022-09-07 15:29:59.978902,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,716NhGYqD1jl2wI1Qkgq36,2022-09-07 15:30:00.643609,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,52iwsT98xCoGgiGntTiR7K,2022-09-07 15:30:01.199962,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,56oDRnqbIiwx4mymNEv7dS,2022-09-07 15:30:01.833847,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5cj0lLjcoR7YOSnhnX0Po5,2022-09-07 15:30:02.452792,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,1aSxMhuvixZ8h9dK9jIDwL,2022-09-07 15:30:03.127613,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,41MozSoPIsD1dJM0CLPjZF,2022-09-07 15:30:03.751223,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,0hCNtLu0JehylgoiP8L4Gh,2022-09-07 15:30:04.444745,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,46xBNx0j6cwY6sD9LgMTm1,2022-09-07 15:30:05.070441,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6KImCVD70vtIoJWnq6nGn3,2022-09-07 15:30:05.652615,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,1Cs0zKBU1kc0i8ypK3B9ai,2022-09-07 15:30:06.252964,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,64M6ah0SkkRsnPGtGiRAbb,2022-09-07 15:30:06.945971,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6VuMaDnrHyPL1p4EHjYLi7,2022-09-07 15:30:07.571234,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6HaGTQPmzraVmaVxvz6EUc,2022-09-07 15:30:08.248230,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3Nrfpe0tUJi4K4DXYWgMUX,2022-09-07 15:30:08.960862,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7qmpXeNz2ojlMl2EEfkeLs,2022-09-07 15:30:09.697756,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,38PzLQE4GW8o7A18oGhi0x,2022-09-07 15:30:10.253142,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3PhoLpVuITZKcymswpck5b,2022-09-07 15:30:10.946122,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,26dSoYclwsYLMAKD3tpOr4,2022-09-07 15:30:11.650252,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,46pWGuE3dSwY3bMMXGBvVS,2022-09-07 15:30:12.273804,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,0C8ZW7ezQVs4URX5aX7Kqx,2022-09-07 15:30:13.091095,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,57vWImR43h4CaDao012Ofp,2022-09-07 15:30:13.827258,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7ltDVBr6mKbRvohxheJ9h1,2022-09-07 15:30:14.372203,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,64KEffDW9EtZ1y2vBYgq8T,2022-09-07 15:30:15.034460,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6LuN9FCkKOj5PcnpouEgny,2022-09-07 15:30:15.677399,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,4nDoRrQiYLoBzwC5BhVJzF,2022-09-07 15:30:16.225455,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6eUKZXaKkcviH0Ku9w2n3V,2022-09-07 15:30:16.920815,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5H4yInM5zmHqpKIoMNAx4r,2022-09-07 15:30:17.588142,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:30:18.207969,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,37230BxxYs9ksS7OkZw3IU,2022-09-07 15:30:18.980169,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6vWDO969PvNqNYHIOW5v0m,2022-09-07 15:30:19.636929,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,2LIk90788K0zvyj2JJVwkJ,2022-09-07 15:30:20.299926,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,2YOYua8FpudSEiB9s88IgQ,2022-09-07 15:30:21.012006,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,2tIP7SsRs7vjIcLrU85W8J,2022-09-07 15:30:21.623665,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,1uNFoZAHBGtllmzznpCI3s,2022-09-07 15:30:22.153820,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7pbDxGE6nQSZVfiFdq9lOL,2022-09-07 15:30:22.839291,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3wcj11K77LjEY1PkEazffa,2022-09-07 15:30:23.372857,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,0QHgL1lAIqAw0HtD7YldmP,2022-09-07 15:30:23.962184,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,1RyvyyTE3xzB2ZywiAwp0i,2022-09-07 15:30:24.675297,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7tYKF4w9nC0nq9CsPZTHyP,2022-09-07 15:30:25.305131,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3MZsBdqDrRTJihTHQrO6Dq,2022-09-07 15:30:25.988997,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,0tmwSHipWxN12fsoLcFU3B,2022-09-07 15:30:26.629164,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5cj0lLjcoR7YOSnhnX0Po5,2022-09-07 15:30:27.311439,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5CiGnKThu5ctn9pBxv7DGa,2022-09-07 15:30:28.032424,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3Nrfpe0tUJi4K4DXYWgMUX,2022-09-07 15:30:28.643259,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7hJcb9fa4alzcOq3EaNPoG,2022-09-07 15:30:29.333436,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,53XhwfbYqKCa1cC15pYq2q,2022-09-07 15:30:29.975929,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7jVv8c5Fj3E9VhNjxT4snq,2022-09-07 15:30:30.609843,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,181bsRPaVXVlUKXrxwZfHK,2022-09-07 15:30:31.185166,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6M2wZ9GZgrQXHCFfjv46we,2022-09-07 15:30:31.896556,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,1RyvyyTE3xzB2ZywiAwp0i,2022-09-07 15:30:32.460790,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3TVXtAsR1Inumwj472S9r4,2022-09-07 15:30:33.093349,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,687cZJR45JO7jhk1LHIbgq,2022-09-07 15:30:33.803231,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,1uNFoZAHBGtllmzznpCI3s,2022-09-07 15:30:34.356505,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6HvZYsbFfjnjFrWF950C9d,2022-09-07 15:30:35.048608,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,2W8yFh0Ga6Yf3jiayVxwkE,2022-09-07 15:30:35.648365,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,5XKFrudbV4IiuE5WuTPRmT,2022-09-07 15:30:36.179927,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7CajNmpbOovFoOoasH2HaY,2022-09-07 15:30:36.822832,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,31TPClRtHm23RisEBtV3X7,2022-09-07 15:30:37.719907,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,26VFTg2z8YR0cCuwLzESi2,2022-09-07 15:30:38.252199,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,2RdwBSPQiwcmiDo9kixcl8,2022-09-07 15:30:39.032156,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6vWDO969PvNqNYHIOW5v0m,2022-09-07 15:30:39.607119,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,43BxCL6t4c73BQnIJtry5v,2022-09-07 15:30:40.150637,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,45ruzGUmIr8WLjLOPJ9mGU,2022-09-07 15:30:40.821492,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6eUKZXaKkcviH0Ku9w2n3V,2022-09-07 15:30:41.387478,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,4yvcSjfu4PC0CYQyLy4wSq,2022-09-07 15:30:42.067696,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,3MdXrJWsbVzdn6fe5JYkSQ,2022-09-07 15:30:42.664452,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,67MNhiAICFY6Pwc2YxCO0K,2022-09-07 15:30:43.249764,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,7f5Zgnp2spUuuzKplmRkt7,2022-09-07 15:30:43.888163,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,6ydoSd3N2mwgwBHtF6K7eX,2022-09-07 15:30:44.417238,2099-12-31
37i9dQZF1DXcBWIGoYBM5M,790FomKkXshlbRYZFtlgla,2022-09-07 15:30:45.031784,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,6KImCVD70vtIoJWnq6nGn3,2022-09-07 15:30:45.687566,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,716NhGYqD1jl2wI1Qkgq36,2022-09-07 15:30:46.280548,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,52iwsT98xCoGgiGntTiR7K,2022-09-07 15:30:46.867201,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:30:47.416431,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,37230BxxYs9ksS7OkZw3IU,2022-09-07 15:30:48.067537,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:30:48.693946,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,0tmwSHipWxN12fsoLcFU3B,2022-09-07 15:30:49.459487,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,41MozSoPIsD1dJM0CLPjZF,2022-09-07 15:30:50.080127,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,1Cs0zKBU1kc0i8ypK3B9ai,2022-09-07 15:30:50.858632,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,64M6ah0SkkRsnPGtGiRAbb,2022-09-07 15:30:51.455736,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,7ltDVBr6mKbRvohxheJ9h1,2022-09-07 15:30:52.076024,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,5Pwc4xIPtQLFEnJriah9YJ,2022-09-07 15:30:52.696680,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:30:53.267138,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,7bXgB6jMjp9ATFy66eO08Z,2022-09-07 15:30:54.017803,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,3MZsBdqDrRTJihTHQrO6Dq,2022-09-07 15:30:54.636487,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,57vWImR43h4CaDao012Ofp,2022-09-07 15:30:55.202622,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,1aSxMhuvixZ8h9dK9jIDwL,2022-09-07 15:30:55.868544,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:30:56.409850,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,5n9bMYfz9qss2VOW89EVs2,2022-09-07 15:30:57.013117,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,0hCNtLu0JehylgoiP8L4Gh,2022-09-07 15:30:57.605452,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,46xBNx0j6cwY6sD9LgMTm1,2022-09-07 15:30:58.213686,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:30:58.865176,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4yvcSjfu4PC0CYQyLy4wSq,2022-09-07 15:30:59.476536,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,790FomKkXshlbRYZFtlgla,2022-09-07 15:31:00.046648,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,2tIP7SsRs7vjIcLrU85W8J,2022-09-07 15:31:00.639956,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,1uNFoZAHBGtllmzznpCI3s,2022-09-07 15:31:01.246909,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,6VuMaDnrHyPL1p4EHjYLi7,2022-09-07 15:31:01.971321,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,6HaGTQPmzraVmaVxvz6EUc,2022-09-07 15:31:02.589832,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,3Nrfpe0tUJi4K4DXYWgMUX,2022-09-07 15:31:03.204846,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,2txHhyCwHjUEpJjWrEyqyX,2022-09-07 15:31:03.959914,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,5XKFrudbV4IiuE5WuTPRmT,2022-09-07 15:31:04.521466,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,6KImCVD70vtIoJWnq6nGn3,2022-09-07 15:31:05.108100,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,5H4yInM5zmHqpKIoMNAx4r,2022-09-07 15:31:05.725412,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,246dkjvS1zLTtiykXe5h60,2022-09-07 15:31:06.249925,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,5cj0lLjcoR7YOSnhnX0Po5,2022-09-07 15:31:07.014850,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:31:07.684175,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,56oDRnqbIiwx4mymNEv7dS,2022-09-07 15:31:08.297370,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,7qmpXeNz2ojlMl2EEfkeLs,2022-09-07 15:31:08.948186,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,38PzLQE4GW8o7A18oGhi0x,2022-09-07 15:31:09.536185,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,1Xyo4u8uXC1ZmMpatF05PJ,2022-09-07 15:31:10.124342,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4axKuDPr6WKcDCyh8vueTY,2022-09-07 15:31:10.779511,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,3PhoLpVuITZKcymswpck5b,2022-09-07 15:31:11.290792,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,26dSoYclwsYLMAKD3tpOr4,2022-09-07 15:31:11.975837,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,1Qp56T7n950O3EGMsSl81D,2022-09-07 15:31:12.574244,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,1uNFoZAHBGtllmzznpCI3s,2022-09-07 15:31:13.130886,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,77SW9BnxLY8rJ0RciFqkHh,2022-09-07 15:31:13.808796,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,53XhwfbYqKCa1cC15pYq2q,2022-09-07 15:31:14.353595,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,790FomKkXshlbRYZFtlgla,2022-09-07 15:31:15.104264,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4IndUOBCZYZg61557iq2A9,2022-09-07 15:31:15.738227,2099-12-31
37i9dQZEVXbMDoHDwVN2tF,4q3ewBCX7sLwd24euuV69X,2022-09-07 15:31:16.286623,2099-12-31
